x,y,z,Bx,By,By,Bp,faceid
-24.745,12.726,-32.9,50,0,0,-366,3
-24.745,13.433,-32.9,50,0,0,-366,3
-24.745,14.14,-32.9,50,0,0,-366,3
-24.745,14.847,-32.9,50,0,0,-366,3
-24.745,15.554,-32.9,50,0,0,-366,3
-24.745,16.2610000000001,-32.9,50,0,0,-366,3
-24.745,16.9680000000001,-32.9,50,0,0,-366,3
-24.745,17.6750000000001,-32.9,50,0,0,-366,3
-24.745,18.3820000000001,-32.9,50,0,0,-366,3
-24.745,19.0890000000001,-32.9,50,0,0,-366,3
-24.745,19.7960000000001,-32.9,50,0,0,-366,3
-24.038,-20.503,-32.9,50,0,0,-366,3
-24.038,-19.796,-32.9,50,0,0,-366,3
-24.038,-19.089,-32.9,50,0,0,-366,3
-24.038,-18.382,-32.9,50,0,0,-366,3
-24.038,-17.675,-32.9,50,0,0,-366,3
-24.038,-16.968,-32.9,50,0,0,-366,3
-24.038,-16.261,-32.9,50,0,0,-366,3
-24.038,-15.554,-32.9,50,0,0,-366,3
-24.038,-14.847,-32.9,50,0,0,-366,3
-24.038,-14.14,-32.9,50,0,0,-366,3
-24.038,-13.433,-32.9,50,0,0,-366,3
-24.038,-12.726,-32.9,50,0,0,-366,3
-24.038,-12.019,-32.9,50,0,0,-366,3
-24.038,-11.312,-32.9,50,0,0,-366,3
-24.038,-10.605,-32.9,50,0,0,-366,3
-24.038,-9.89799999999998,-32.9,50,0,0,-366,3
-24.038,-9.19099999999998,-32.9,50,0,0,-366,3
-24.038,-8.48399999999998,-32.9,50,0,0,-366,3
-24.038,-7.77699999999998,-32.9,50,0,0,-366,3
-24.038,-7.06999999999998,-32.9,50,0,0,-366,3
-24.038,-6.36299999999998,-32.9,50,0,0,-366,3
-24.038,-5.65599999999997,-32.9,50,0,0,-366,3
-24.038,-4.94899999999997,-32.9,50,0,0,-366,3
-24.038,-4.24199999999997,-32.9,50,0,0,-366,3
-24.038,-3.53499999999997,-32.9,50,0,0,-366,3
-24.038,-2.82799999999997,-32.9,50,0,0,-366,3
-24.038,-2.12099999999997,-32.9,50,0,0,-366,3
-24.038,-1.41399999999997,-32.9,50,0,0,-366,3
-24.038,-0.706999999999969,-32.9,50,0,0,-366,3
-24.038,3.19744231092045E-14,-32.9,50,0,0,-366,3
-24.038,0.707000000000033,-32.9,50,0,0,-366,3
-24.038,1.41400000000003,-32.9,50,0,0,-366,3
-24.038,2.12100000000003,-32.9,50,0,0,-366,3
-24.038,2.82800000000003,-32.9,50,0,0,-366,3
-24.038,3.53500000000004,-32.9,50,0,0,-366,3
-24.038,4.24200000000004,-32.9,50,0,0,-366,3
-24.038,4.94900000000004,-32.9,50,0,0,-366,3
-24.038,5.65600000000004,-32.9,50,0,0,-366,3
-24.038,6.36300000000004,-32.9,50,0,0,-366,3
-24.038,7.07000000000004,-32.9,50,0,0,-366,3
-24.038,7.77700000000004,-32.9,50,0,0,-366,3
-24.038,8.48400000000004,-32.9,50,0,0,-366,3
-24.038,9.19100000000004,-32.9,50,0,0,-366,3
-24.038,9.89800000000004,-32.9,50,0,0,-366,3
